"Keyword","Link","Tweet","Insecure","Reason","NumberCharacters","NumberCapitalChars","PercentCapitalChars","NumberExclamation"
"Join Us","https://t.co/2MFZ2DR3NY","b""please don't forget to join us, not long now!!! \n\n https://t.co/2MFZ2DR3NY""",FALSE,.,79,7,8.86075949367089,3
"Join Us","https://t.co/p8f1jFRxTt","b""Join us at @KMI_GWSB's #DistinguishedLectureSeries on March 27th at 7 pm EST. Featuring the CEO of @KoreanAir, Ms.\xe2\x80\xa6 https://t.co/p8f1jFRxTt""",FALSE,.,153,25,16.3398692810458,0
"Join Us","https://t.co/1bXQTBXj84","b'Join us TONIGHT@ 8 P.M. for Transformation Tuesday via Zoom \xf0\x9f\x98\x84 Join us for fun, games, prizes, and God\xe2\x80\x99s Holy Word!\xe2\x80\xa6 https://t.co/1bXQTBXj84'",FALSE,.,179,22,12.2905027932961,1
"Join Us","https://t.co/BhtASgm6HB","b'Are you looking to better understand how your business can grow through international trade?\n\nJoin Us At The Import\xe2\x80\xa6 https://t.co/BhtASgm6HB'",FALSE,.,156,11,7.05128205128205,0
"Join Us","https://t.co/2tcCEog0VS","b'Join us to honor @r_a_r_e_advoc8 and the Class of 2021 on March 30th at 6:30pm ET for our online celebration.  Lear\xe2\x80\xa6 https://t.co/2tcCEog0VS'",TRUE,"Phishing Scam",154,10,6.49350649350649,0
"Join Us","https://t.co/ZoosyHzNry","b'Join us to learn about brain training research with developmental psychologist, Dr. Jerri Edwards. Her research whi\xe2\x80\xa6 https://t.co/ZoosyHzNry'",FALSE,.,154,8,5.19480519480519,0
"Join Us","https://t.co/JNiuz1YeCf","b'Join us on Monday night for another Pediatric Family Support zoom meeting. We will be addressing some current rumor\xe2\x80\xa6 https://t.co/JNiuz1YeCf'",TRUE,"Potential Threat",154,10,6.49350649350649,0
"Join Us","https://t.co/WloTgQLnke","b'Church conference is today at 3:00 p.m.!\n\nPlan to join us for a brief church conference meeting via Zoom TODAY, Sun\xe2\x80\xa6 https://t.co/WloTgQLnke'",TRUE,"Potential Threat",156,13,8.33333333333333,1
"Join Us","https://t.co/D5HamJQxuO","b'Join us in a Zoom webinar hosted by @IFSW Africa - SOCIAL WORK AND PUBLIC HEALTH #GPHW - Tuesday 5 April 2022 13.30\xe2\x80\xa6 https://t.co/D5HamJQxuO'",TRUE,"Potential Threat",154,43,27.9220779220779,0
"Join Us","https://t.co/XaaWAwMvJ7","b'Join us on Monday 8am EDT for #Epilepsy GR with Dr. Wheless from @lebonheurchild. He will be talking about\xe2\x80\xa6 https://t.co/XaaWAwMvJ7'",TRUE,"Potential Threat",145,16,11.0344827586207,0
"Join Us","https://t.co/gSoiJDRkle","b'What writing skills you need in the professional world?\xc2\xa0This week, 3 grad alumni will share how their writing habit\xe2\x80\xa6 https://t.co/gSoiJDRkle'",TRUE,"Potential Threat",161,6,3.72670807453416,0
"Join Us","https://t.co/5e8YsaIAJG","b'Library Futures coalition partner the Boston Public Library was established by law in 1848 (more of their history:\xe2\x80\xa6 https://t.co/5e8YsaIAJG'",FALSE,.,153,10,6.5359477124183,0
